"addon"
{
	"event_elysium_boss_aether"													"Проявление Пространства"
	"event_solitude_event_ominous_pentagram_option_2"							"Dispel. <font color=\"yellow\">[%event_ominous_pentagram_dispel%.]</font>"
	"event_solitude_event_ominous_pentagram_option_3"							"Escape. [Nothing happens?]"
	"event_ominous_pentagram_touch"												"WARNING: Fight"
	"event_ominous_pentagram_touch_Description"									"Fight an empowered Asura. Grants increased benefits when beaten. You gain 15 all stats upon touching it."
	"event_ominous_pentagram_dispel"											"Fight"
	"event_ominous_pentagram_dispel_Description"								"Fight Asura, the God of Demons. Beating him grants boss rewards."

	"event_solitude_event_demonic_horde"										"Demonic Horde"
	"event_solitude_event_demonic_horde_Description"							"While traveling, you are ambushed and are suddenly surrounded by a massive horde of enemies. Survive the Horde!"
	"event_solitude_event_demonic_horde_option_1"								"To battle! [Start combat.]"
	"event_solitude_event_demonic_horde_Reward1"								"After defeating the Horde, you feel stronger than before, you gained 30 movement speed and 500 mana!"
	
	"event_solitude_event_black_ritual"											"A Black Ritual"
	"event_solitude_event_black_ritual_Description"								"While traveling, you encounter some skull and bones, accompanied by various glyphs and blood. In the middle, you see a candle."
	"event_solitude_event_black_ritual_option_1"								"Take the candle. <font color=\"yellow\">[Receive %relic_unique_ritual_candle%, but lose all your current gold.]</font>"
	"event_solitude_event_black_ritual_option_2"								"Commune. <font color=\"yellow\">[Receive %relic_cursed_forbidden_contract%, but lose all your current gold.]</font>"
	"event_solitude_event_black_ritual_option_3"								"Destroy. <font color=\"yellow\">[Receive 3 Generic relics, but lose all your current gold.]</font>"
	"event_solitude_event_black_ritual_option_4"								"Leave. <font color=\"green\">[Nothing happens.]</font>"
	
	"event_elysium_event_fountain_of_purity"									"Fountain of Purity"
	"event_elysium_event_fountain_of_purity_Description"						"While traveling, you find a drinking fountain, it emanates a soothing aura."
	"event_elysium_event_fountain_of_purity_option_1"							"Drink. <font color=\"green\">[Remove all Curses]</font>"
	"event_elysium_event_fountain_of_purity_option_2"							"Bless. <font color=\"green\">[Receive %relic_unique_ofuda%]</font>"
	"event_elysium_event_fountain_of_purity_option_3"							"Pray. <font color=\"green\">[Receive %event_fountain_of_purity_pray%]</font>"
	"event_fountain_of_purity_pray"												"Blessing of Purity"
	"event_fountain_of_purity_pray_Description"									"Gain +5 of every attribute."
	
	"ascension_1_Description"													"A1: All enemies will be Elites. Elites will no longer drop relics."
	"ascension_2_Description"													"A2: Bosses no longer drop relics. Bosses gain 25% status resistance."
	"ascension_3_Description"													"A3: Your heal amplification will be reduced by 50%. Bosses gain 50% status resistance."
	"ascension_4_Description"													"A4: All enemies will have hasted and flying movement. Bosses gain 75% status resistance."
	"ascension_Generic_Description"												"Every ascension increases enemy attack speed, crit chance, armor and damage."

	
	"vote_difficulty"													"ГОЛОСОВАНИЕ ЗА СЛОЖНОСТЬ"
	"vote_lives"														"ГОЛОСОВАНИЕ ЗА ЖИЗНИ"
							
	"difficultyNormal"													"Нормальная"
	"difficultyImpossible"												"Чемпион"
	"difficultyPainful"													"Героическая"
	"difficultySadistic"												"Легендарная"
				
	"difficultyHardTooltip"													"Нормальная сложность является основной."
	"difficultyImpossibleTooltip"											"Сложность 'Чемпион' не даёт дополнительную жизнь в 13 раунде, и боссы на 25% сильнее."
	"difficultyPainfulTooltip"												"Героическая сложность не даёт дополнительную жизнь в 26 раунде, увеличивает количество спавнов, и боссы на 40% сильнее."
	"difficultySadisticTooltip"												"Легендарная сложность даёт элитным боссам (с эффектами) две пассивки вместо одной, и все боссы на 60% сильнее."
				
	"NotificationCompromiseText" 										"Сложность - между {s:bottom} и {s:top}."
	"NotificationMajorityText" 											"Сложность - {s:difficulty}."
	
	"livesHard"															"7 жизней"
	"livesImpossible"													"5 жизней"
	"livesPainful"														"3 жизни"
	"livesSadistic"														"1 жизнь"
				
	"livesHardCasual"                                                     "14 жизней"
	"livesImpossibleCasual"                                               "10 жизней"
	"livesPainfulCasual"                                                  "6 жизней"
	"livesSadisticCasual"                                                 "2 жизни"
	
	"QuestDifficultyText" 										"СЛОЖНОСТЬ: {s:difficulty}"
	"QuestRoundText" 											"РАУНД {d:roundNumber}: {s:roundText}"
	"QuestLifeText" 											"ЖИЗНИ: {d:lives} ИЗ {d:maxLives}"
	"QuestPrepText" 											"ВРЕМЯ ДЛЯ ГОТОВНОСТИ: {d:prepTime}"
	
	"SKILL_TREE_OFFENSE"											"атака"
	"SKILL_TREE_DEFENSE"											"защита"
	"SKILL_TREE_OTHER"												"общий"
	"SKILL_TREE_UNIQUE"												"талант"
	
	"STATS_TYPE_MOVE_SPEED"											"скорость движения"
	"STATS_TYPE_MANA"												"мана"
	"STATS_TYPE_MANA_REGEN"											"регенерация маны"
	"STATS_TYPE_HEAL_AMP"											"увеличение исцеления"
	"STATS_TYPE_ALL_STATS"											"атрибуты"
	
	"STATS_TYPE_ATTACK_DAMAGE"										"повреждение атаки"
	"STATS_TYPE_COOLDOWN_REDUCTION"									"уменьшение кулдаунов"
	"STATS_TYPE_SPELL_AMP"											"увеличенный урон от заклинаний"
	"STATS_TYPE_ATTACK_SPEED"										"скорость атаки"
	"STATS_TYPE_STATUS_AMP"											"более длинные дебафы"
	"STATS_TYPE_ACCURACY"											"точность"
	
	"STATS_TYPE_ARMOR"												"броня"
	"STATS_TYPE_MAGIC_RESIST"										"сопротивление магии"
	"STATS_TYPE_DAMAGE_BLOCK"										"блок повреждения (60%)"
	"STATS_TYPE_ATTACK_RANGE"										"диапазон атаки"
	"STATS_TYPE_HEALTH"												"здоровье"
	"STATS_TYPE_HEALTH_REGEN"										"восстановление здоровья"
	"STATS_TYPE_STATUS_REDUCTION"									"устойчивость к дебаффу"
	
	"RespecText"													"сброс"
	
	// ERRORS
	"generic_relic_not_found"																				"Generic Circlet"
	"generic_relic_not_found_Description"																	"Игра не нашла Generic реликвию для вас и вместо того, чтобы крашнуться, дала вам эту. Славно, не правда ли?"
	
	"cursed_relic_not_found"																				"Cursed Circlet"
	"cursed_relic_not_found_Description"																	"Игра не нашла Cursed реликвию для вас и вместо того, чтобы крашнуться, дала вам эту. Славно, не правда ли?"
	
	"unique_relic_not_found"																				"Unique Circlet"
	"unique_relic_not_found_Description"																	"Игра не нашла Unique реликвию для вас и вместо того, чтобы крашнуться, дала вам эту. Славно, не правда ли?"
	
	// CURSED
	"relic_cursed_adamantium_ingot"																			"Adamantium Ingot"
	"relic_cursed_adamantium_ingot_Description"																"+20 к броне, но -50% к сопротивлению магии."
	
	"relic_cursed_boiling_blood"																			"Boiling Blood"
	"relic_cursed_boiling_blood_Description"																"Когда Вы рядом с противником, каждую секунду вы получаете 2% от вашего текущего здоровья в качестве магического урона.\nВы наносите 2% от вашего максимального здоровья всем противникам вокруг.\nУрон по себе не может убить вас."
	
	"relic_cursed_cursed_dice"																				"Cursed Dice"
	"relic_cursed_cursed_dice_Description"																	"Вы теряете все реликвии и получаете такое же количество случайных реликвий.\nКаждая потерянная реликвия имеет 50% шанс дать дополнительную реликвию."
	
	"relic_cursed_glass_flower"																				"Glass Flower"
	"relic_cursed_glass_flower_Description"																	"Вы получаете +100% к урону от способностей, но также получаете на 50% больше урона из всех источников."
	
	"relic_cursed_loaded_coin"																				"Loaded Coin"
	"relic_cursed_loaded_coin_Description"																	"У вас есть 30% шанс получить утроенный урон и 70% шанс не получить урона."
	
	"relic_cursed_mysterious_stone"																			"Mysterious Stone"
	"relic_cursed_mysterious_stone_Description"																"Вы теряете 50% сопротивления к эффектам (при сопротивлении ниже 0% эффекты длятся дольше), но вы блокируете один дебафф каждые 12 секунд."
	
	"relic_cursed_pale_blood"																				"Pale Blood"
	"relic_cursed_pale_blood_Description"																	"Вы получаете 30% вампиризм из всех источников урона, но максимальное здоровье снижено на 35%."
	
	"relic_cursed_paupers_finger"																			"Pauper's Finger"
	"relic_cursed_paupers_finger_Description"																"Вы получаете на 50% меньше золота, но на 50% больше опыта."
	
	"relic_cursed_phoenix_down"																				"Phoenix Down"
	"relic_cursed_phoenix_down_Description"																	"Стоимость и перезарядка выкупа снижены до 0, но вы можете выкупиться только когда вас кто-то воскрешает."
	
	"relic_cursed_red_key"																					"Red Key"
	"relic_cursed_red_key_Description"																		"Увеличивает шанс выпадения реликвий до 50%, но если реликвия не выпадает, вы наносите на 25% меньше урона в следующем раунде. Штраф действует один раунд."
	
	"relic_cursed_symbiote"																					"Symbiote"
	"relic_cursed_symbiote_Description"																		"Ваше максимальное здоровье увеличено на значение максимальной маны, и регенерация здоровья - на регенерацию маны. При использовании способности вы получаете чистый урон, равный стоимости способности."	
	
	"relic_cursed_the_pact"																					"The Pact"
	"relic_cursed_the_pact_Description"																		"Ваш базовый урон увеличен на 100% и вы получаете 100% вампиризма от атак. Все остальные источники лечения отключены и вы теряете 50% сопротивления к магии и 20 брони."
	
	"relic_cursed_titans_jawbone"																			"Titan's Jawbone"
	"relic_cursed_titans_jawbone_Description"																"Ваше максимальное здоровье увеличено на 60%. Вы наносите на 33% меньше урона из всех источников."
	
	"relic_cursed_giants_cudgel"																			"Giant's Cudgel"
	"relic_cursed_giants_cudgel_Description"																"Уменьшает бонусную скорость атаки на 40%. Каждая атака наносит 100% урона всем врагам в радиусе 275, включая цель атаки."
	
	"relic_cursed_unstoppable_force"																		"Unstoppable Force"
	"relic_cursed_unstoppable_force_Description"															"Дает ускорение (максимальная скорость передвижения, игнорирует замедления). Скорость поворота снижена на 80%."
	
	"relic_cursed_battle_brew"																				"Battle Brew"
	"relic_cursed_battle_brew_Description"																	"Увеличивает генерацию угрозы на 50%, вы получаете +30 к силе и +80 к скорости атаки, но ослеплены на 20%."
	
	"relic_cursed_first_sin"																				"First Sin"
	"relic_cursed_first_sin_Description"																	"Все противники атакуют вас. Вы не можете стать невидимым."
	
	"relic_cursed_crystal_skull"																			"Crystal Skull"
	"relic_cursed_crystal_skull_Description"																"Вы невидимы, когда в радиусе 450 нет противников.\nВаши броня и сопротивление магии не могут быть выше 0.\nЭта реликвия имеет приоритет над всеми другими формами невидимости."
	
	"relic_cursed_hushpuppy"																				"Hushpuppy"
	"relic_cursed_hushpuppy_Description"																	"Когда вы становитесь целью заклинания противника, вы применяете 3-секундное безмолвие на него. Если вы используете заклинание в течение этого периода, безмолвие применяется на вас.\nЭтот эффект имеет перезарядку в 15 секунд и игнорирует иммунитет к эффектам."
	
	"relic_cursed_unchanging_globe"																			"Unchanging Globe"
	"relic_cursed_unchanging_globe_Description"																"После использования способности она перезаряжается 9 секунд, вне зависимости от начальной перезарядки или снижения перезарядки. Ваш интеллект равен 0."
	
	"relic_cursed_bloody_silk"																				"Bloody Silk"
	"relic_cursed_bloody_silk_Description"																	"Когда вы лечите союзника, лечение увеличено на 50 здорочья, но вы получаете 20 чистого урона."

	"relic_cursed_hungry_blade"																				"Hungry Blade"
	"relic_cursed_hungry_blade_Description"																	"Вы получаете 100 бонусного урона и +100 к скорости атаки, но ваша скорость передвижения снижена на 15%.\nЕсли вы не атаковали противников в течение 6 секунд, вы начинаете терять 5% от максимального здоровья в секунду. Этот урон не смертелен."
	
	"relic_cursed_delirious_cowl"																			"Delirious Cowl"
	"relic_cursed_delirious_cowl_Description"																"После использования способности ее перезарядка будет равна случайному значению от 10% до 150% от нормальной перезарядки."
	
	"relic_cursed_whale_heart"																				"Whale Heart"
	"relic_cursed_whale_heart_Description"																	"Увеличивает регенерацию здоровья в воде на 50%. Снижает регенерацию здоровья на суше на 50%."
	
	"relic_cursed_demon_wings"																				"Demon Wings"
	"relic_cursed_demon_wings_Description"																	"Вы получаетe летающее передвижение и ауру с радиусом в 300, которая наносит 100% от основного атрибута в качестве урона. Скорость передвижения снижена на 33%."
	
	"relic_cursed_immaculate_staff"																			"Immaculate Staff"
	"relic_cursed_immaculate_staff_Description"																"Перезарядка способностей снижена на 40%. При использовании способности вы получаете чистый урон, равный 75% от стоимости способности."
	
	"relic_cursed_icon_of_pride"																			"Icon of Pride"
	"relic_cursed_icon_of_pride_Description"																"Вы не получаете новых релик, но вы получаете +40 ко всем атрибутам."
	
	"relic_cursed_icon_of_sloth"																			"Icon of Sloth"
	"relic_cursed_icon_of_sloth_Description"																"Скорость передвижения снижена на 50%, но вы не можете умереть от урона, если текущее здоровье выше 10% от максимального здоровья."
	
	"relic_cursed_icon_of_greed"																			"Icon of Greed"
	"relic_cursed_icon_of_greed_Description"																"Вы получаете на 100% больше золота, но не можете получать реликвии."
	
	"relic_cursed_icon_of_wrath"																			"Icon of Wrath"
	"relic_cursed_icon_of_wrath_Description"																"Каждый раз, когда вы получаете урон, вы наносите 80% от основного атрибута в ответ. Вы получаете на 25% больше урона."
	
	"relic_cursed_icon_of_gluttony"																			"Icon of Gluttony"
	"relic_cursed_icon_of_gluttony_Description"																"Вы восстанавливаете 15% от максимального здоровья и маны при убийстве босса и 1% при убийстве обычного противника. Регенерация здоровья и маны снижены на 25%."
	
	"relic_cursed_icon_of_lust"																				"Icon of Lust"
	"relic_cursed_icon_of_lust_Description"																	"Противники в радиусе 350 вместо нанесения урона восстанавливают вам здоровье с шансом в 15%. Максимальное здоровье снижено на 20%."
	
	"relic_cursed_icon_of_envy"																				"Icon of Envy"
	"relic_cursed_icon_of_envy_Description"																	"Вы получаете +5 ко всем атрибутам за каждый раз, когда союзник получает реликвию в раунде, а вы - нет. Все атрибуты снижены на 20 при получении этой реликвии."
	
	"relic_cursed_mask_of_janus"																			"Mask of Janus"
	"relic_cursed_mask_of_janus_Description"																"Каждый раунд вы получаете случайную реликвию вместо одной из ваших. Не может заменить себя."
	
	"relic_cursed_heavy_tome"																				"Heavy Tome"
	"relic_cursed_heavy_tome_Description"																	"Увеличивает интеллект в два раза, но замедляет на 1% за каждый 1% недостающей маны. Всегда замедляет как минимум на 10%."
	
	"relic_cursed_thorned_bandages"																			"Thorned Bandages"
	"relic_cursed_thorned_bandages_Description"																"Увеличивает ваше лечение на 200%. Когда вы кого-то лечите, они получают 100% от вылеченного здоровья в качестве чистого урона в течение 30 секунд."
	
	"relic_cursed_archmages_reliquary"																		"Archmage's Reliquary"
	"relic_cursed_archmages_reliquary_Description"															"You are disarmed and lose 40 armor, but gain 25% cooldown reduction and 75% spell amplification."
	
	"relic_cursed_crimson_gauntlet"																			"Crimson Gauntlet"
	"relic_cursed_crimson_gauntlet_Description"																"Your maximum health is increased by 75%, but enemies attacking you have a 25% chance of dealing 300% critical damage."
	
	"relic_cursed_ritual_kris"																				"Ritual Kris"
	"relic_cursed_ritual_kris_Description"																	"Grants you a 10% chance to deal 360% critical damage, but every time the critical hit activates, you take 10% of your current health as pure damage."
	
	"relic_cursed_tortoise_greatshield"																		"Tortoise's Greatshield"
	"relic_cursed_tortoise_greatshield_Description"															"Grants 50% status resistance, but reduces status amplification by 50%."
	
	"relic_cursed_iron_maiden"																				"Iron Maiden"
	"relic_cursed_iron_maiden_Description"																	"You take 50% bonus damage, but the damage you take heals all allies around you."
	
	"relic_cursed_grey_fox_tunic"																			"Grey Fox's Tunic"
	"relic_cursed_grey_fox_tunic_Description"																"You gain 2 gold every time you land an attack, but you lose 10 armor and 15% evasion."
	
	"relic_cursed_false_idol"																				"False Idol"
	"relic_cursed_false_idol_Description"																	"You gain 600 cast range, but you take 25% of the distance you travel as magical damage."
	
	"relic_cursed_torn_prayer_card"																			"Torn Prayer Card"
	"relic_cursed_torn_prayer_card_Description"																"Taking damage deals damage to your mana pool before reductions instead, if you have insufficient mana, you take 100% bonus damage."
	
	"relic_cursed_apple_of_eden"																			"Apple of Eden"
	"relic_cursed_apple_of_eden_Description"																"You gain 100% heal amplification, but deal 33% less damage."
	
	"relic_cursed_olive_branch"																				"Olive Branch"
	"relic_cursed_olive_branch_Description"																	"If you didn't take damage during a combat round, you gain 300 gold upon beating it, otherwise lose 150 gold."
	
	"relic_cursed_eye_of_the_oligarch"																		"Eye of the Oligarch"
	"relic_cursed_eye_of_the_oligarch_Description"															"Your vision range is equal to your current gold."
	
	"relic_cursed_forbidden_contract"																		"Forbidden Contract"
	"relic_cursed_forbidden_contract_Description"															"Every relic you find after picking up this relic will be Corrupt."
	
	"relic_cursed_unbridled_power"																			"Unbridled Power"
	"relic_cursed_unbridled_power_Description"																"All damage dealt by and and to you is changed to Pure damage."
	
	"relic_cursed_evil_eye_amulet"																			"Evil Eye Amulet"
	"relic_cursed_evil_eye_amulet_Description"																"You gain vision of all enemies, but they also gain vision of you."
	
	"relic_cursed_mimic_chest"																				"Mimic Chest"
	"relic_cursed_mimic_chest_Description"																	"Upon pickup, grants you a completely random relic.\nThis includes relics normally not acquirable like event relics."
	
	// UNIQUE
	"relic_unique_aghanims_amulet"																			"Aghanim's Amulet"
	"relic_unique_aghanims_amulet_Description"																"Вы получаете эффект Aghanim's Scepter."
	
	"relic_unique_frozen_crystal"																			"Frozen Crystal"
	"relic_unique_frozen_crystal_Description"																"Каждый раз, когда вы используете способность, вы замедляете всех противников в радиусе 425 на 15%. Замедление длится 15 секунд."
	
	"relic_unique_limit_breaker"																			"Limit Breaker"
	"relic_unique_limit_breaker_Description"																"Убирает лимит скорости атаки."
	
	"relic_unique_molten_crystal"																			"Molten Crystal"
	"relic_unique_molten_crystal_Description"																"Каждый раз, когда вы используете способность, вы создаете лужу лавы вокруг цели.\nЛава наносит 100% от основного атрибута в качестве урона, имеет радиус в 250 и действует 8 секунд.\nЛужи могут быть созданы не чаще, чем раз в 8 секунд."
	
	"relic_unique_mysterious_hourglass"																		"Mysterious Hourglass"
	"relic_unique_mysterious_hourglass_Description"															"Когда вы получаете новую реликвию и выбираете пропустить (Skip) реликвии, вы получаете 3 новых реликвии. Эффект срабатывает до 3 раз."
	
	"relic_unique_perpetuum_mobile"																			"Perpetuum Mobile"
	"relic_unique_perpetuum_mobile_Description"																"Когда вы используете ману, вы получаете 10 маны."
	
	"relic_unique_rage_enhancer"																			"Rage Enhancer"
	"relic_unique_rage_enhancer_Description"																"Когда вы получаете урон, вы получаете 1 силы на 25 секунд.\nСрабатывает не чаще, чем раз в 0.2 секунды."
	
	"relic_unique_rapid_totem"																				"Rapid Totem"
	"relic_unique_rapid_totem_Description"																	"Вы получаете 50% снижения перезарядки способностей, но теряете 50% увеличения действия эффектов и ваши способности наносят на 40% меньше урона.\nСнижение перезарядки перемножается со снижением перезарядки от предметов."
	
	"relic_unique_rolling_boulder"																			"Rolling Boulder"
	"relic_unique_rolling_boulder_Description"																"Когда вы атакуете противника, вы получаете 1 ловкости на 15 секунд за каждую атаку."
	
	"relic_unique_rotting_flesh"																			"Rotting Flesh"
	"relic_unique_rotting_flesh_Description"																"Вы воскрешаетесь через 40 секунд после смерти."
	
	"relic_unique_rusty_dumbbell"																			"Rusty Dumbbell"
	"relic_unique_rusty_dumbbell_Description"																"Вы получаете 2 очка способностей."
		
	"relic_unique_sacrificial_dagger"																		"Sacrificial Dagger"
	"relic_unique_sacrificial_dagger_Description"															"Когда вы умираете, вы воскрешаете мертвых союзников и полностью излечиваете живых. Срабатывает только один раз."
	
	"relic_unique_ornate_timepiece"																			"Ornate Timepiece"
	"relic_unique_ornate_timepiece_Description"																"Убирает время применения способностей."
	
	"relic_unique_silent_cloak"																				"Silent Cloak"
	"relic_unique_silent_cloak_Description"																	"Снижает генерацию угрозы на 100%."
	
	"relic_unique_oath_of_purity"																			"Oath of Purity"
	"relic_unique_oath_of_purity_Description"																"Вы получаете +10 ко всем атрибутам за каждый дебафф, находящийся на вас."
	
	"relic_unique_vampire_eye"																				"Vampire Eye"
	"relic_unique_vampire_eye_Description"																	"Вы видите всю карту ночью."
	
	"relic_unique_hawks_eye"																				"Hawk's Eye"
	"relic_unique_hawks_eye_Description"																	"Вы видите всю карту днем."
	
	"relic_unique_grain_of_sand"																			"Grain of Sand"
	"relic_unique_grain_of_sand_Description"																"Каждые 15 секунд откат случайной способности будет сброшен."
	
	"relic_unique_memory_alloy"																				"Memory Alloy"
	"relic_unique_memory_alloy_Description"																	"Когда вы получаете урон, вы излечиваете 100% от урона в течение 40 секунд."
	
	"relic_unique_a_nickel"																					"A Nickel"
	"relic_unique_a_nickel_Description"																		"Вы получаете 1500 золота."
	
	"relic_unique_galactic_synapse"																			"Galactic Synapse"
	"relic_unique_galactic_synapse_Description"																"Вы получаете 10 к интеллекту на 30 секунд каждый раз, когда используете способность."
	
	"relic_unique_champions_belt"																			"Champion's Belt"
	"relic_unique_champions_belt_Description"																"Ловкость и сила увеличены на 35%. Интеллект уменьшен на 90%."
	
	"relic_unique_soldiers_banner"																			"Soldier's Banner"
	"relic_unique_soldiers_banner_Description"																"Ваш герой становится ближнего боя. Вы получаете +6 к броне. Дальность атаки - 150."
	
	"relic_unique_longbow"																					"Longbow"
	"relic_unique_longbow_Description"																		"Ваш герой становится дальнего боя. Вы получаете +200 к дальности атаки."
	
	"relic_unique_pocket_sand"																				"Pocket Sand"
	"relic_unique_pocket_sand_Description"																	"Когда вы получаете урон, вы телепортируетесь на 300 юнитов от источника урона.\nТот, кто вас атаковал, получает урон, равный 250% от основного атрибута.\nЭтот эффект имеет перезарядку в 12 секунд."
	
	"relic_unique_eldritch_rune"																			"Eldritch Rune"
	"relic_unique_eldritch_rune_Description"																"Ваш физический урон становится магическим, а магический - физическим.\nЭффект влияет только на способности."
	
	"relic_unique_eagles_beak"																				"Eagle's Beak"
	"relic_unique_eagles_beak_Description"																	"Ваши атаки не промахиваются."
	
	"relic_unique_deathrow"																					"Deathrow"
	"relic_unique_deathrow_Description"																		"Дает 20% шанс нанести 200% критического урона. Критический урон увеличивается на 10% за каждого убитого босса."
	
	"relic_unique_hylophage"																				"Hylophage"
	"relic_unique_hylophage_Description"																	"Каждые 12 секунд уничтожает дерево. Если дерево было уничтожено, вы получаете 20 регенерации здоровья в секунду."
	
	"relic_unique_chlorophyl_cloak"																			"Chlorophyl Cloak"
	"relic_unique_chlorophyl_cloak_Description"																"Вы получаете 15% скорости передвижения, 10 брони и 15% сопротивления магии днем."
	
	"relic_unique_anaerobic_ring"																			"Anaerobic Ring"
	"relic_unique_anaerobic_ring_Description"																"Вы получаете 2% регенерации здоровья ночью."
	
	"relic_unique_hestias_hearth"																			"Hestia's Hearth"
	"relic_unique_hestias_hearth_Description"																"Вы получаете ауру, восстанавливающую союзникам 10 здоровья в секунду."
	
	"relic_unique_spirit_painting"																			"Spirit Painting"
	"relic_unique_spirit_painting_Description"																"Каждые 10 секунд случайный противник получает 250% вашего основного атрибута в качестве урона. Если противник применял способность, на него наложится безмолвие и вы получите 25% увеличения урона со способностей до следующего цикла."
	
	"relic_unique_charons_obol"																				"Charon's Obol"
	"relic_unique_charons_obol_Description"																	"Когда вы получаете смертельный урон, вы становитесь неуязвимы на 5 секунд. Может срабатывать не чаще, чем раз в 35 секунд."
	
	"relic_unique_kashas_wheelbarrow"																		"Kasha's Wheelbarrow"
	"relic_unique_kashas_wheelbarrow_Description"															"За каждый раунд, завершенный с этой реликвией, вы получаете +5 к скорости передвижения и +10 к скорости атаки."
	
	"relic_unique_inversion_stone"																			"Inversion Stone"
	"relic_unique_inversion_stone_Description"																"Вы получаете базовый урон не от основного атрибута, а от двух других."
	
	"relic_unique_lunar_needle"																				"Lunar Needle"
	"relic_unique_lunar_needle_Description"																	"Излечивает союзников в радиусе 900 от цели атаки на 15% от урона с атаки."
	
	"relic_unique_ritual_candle"																			"Ritual Candle"
	"relic_unique_ritual_candle_Description"																"Убирает негативный эффект с Cursed реликвий."
	
	"relic_unique_cold_heart"																				"Cold Heart"
	"relic_unique_cold_heart_Description"																	"Вы получаете ауру, замедляющую всех противников поблизости. Противники под действием ауры теряют 20% скорости передвижения и 50 скорости атаки."
	
	"relic_unique_shopkeepers_heart"																		"Shopkeeper's Heart"
	"relic_unique_shopkeepers_heart_Description"															"You gain 150 gold and experience every round completed."
	
	"relic_unique_rex_dominatur"																			"Rex Dominatur"
	"relic_unique_rex_dominatur_Description"																"You deal 25% additional damage from all sources against Celestial enemies."
	
	"relic_unique_sharp_machete"																			"Sharp Machete"
	"relic_unique_sharp_machete_Description"																"You deal 25% additional damage from all sources against Wild enemies."
	
	"relic_unique_gazaer_tirdh"																				"Gazaer Tirdh"
	"relic_unique_gazaer_tirdh_Description"																	"You deal 25% additional damage from all sources against Demonic enemies."
	
	"relic_unique_chainsword"																				"Chainsword"
	"relic_unique_chainsword_Description"																	"You deal 25% additional damage from all sources against Undead enemies."
	
	"relic_unique_antique_pouch"																			"Antique Pouch"
	"relic_unique_antique_pouch_Description"																"You gain +3 all stats for every relic owned.\nDoes not count itself."
	
	"relic_unique_ofuda"																					"Ofuda"
	"relic_unique_ofuda_Description"																		"При выборе данной реликвии очищает пользователя от 3 событийных проклятий, если после получения реликвии остались заряды, то они сохранятся, чтобы быть спользованными в будущем."
	
	"relic_unique_plasma_ball"																				"Шарик плазмы"
	"relic_unique_plasma_ball_Description"																	"Пользователь реликвии посылает молнию, которыя наносит 225 урона каждые 2 секунды. Радиус поиска для молнии зависит от расстояния, пройденного пользователем с момента последнего использования."
	
	"relic_unique_silver_knife"																				"Silver Knife"
	"relic_unique_silver_knife_Description"																	"Даёт 15 урона за каждое усиление физической атаки."
	
	"relic_unique_reinforced_bar"																			"Reinforced Bar"
	"relic_unique_reinforced_bar_Description"																"Даёт 2 защиты за каждое усиление физической брони."
	
	"relic_unique_drycicle"																					"Drycicle"
	"relic_unique_drycicle_Description"																		"Каждая атака накладывает 1 стак холода, при достижении 100 стаков цель будет заморожена."
	
	"relic_unique_nautical_scale"																			"Nautical Scale"
	"relic_unique_nautical_scale_Description"																"Находясь в воде даёт 8 защиты, 20% магического споротивление и 10% уворотов."
	
	"relic_unique_mystical_coral"																			"Мистический корал"
	"relic_unique_mystical_coral_Description"																"Находясь в воде даёт 25% усиление способностей и 15% уменьшение затраты маны."
	
	"relic_unique_prismarine_blade"																			"Лезвие из призмарина"
	"relic_unique_prismarine_blade_Description"																"Находясь в воде даёт 80 урона и скорости атаки."
	
	"relic_unique_slayers_skinner"																			"Кожа убийцы"
	"relic_unique_slayers_skinner_Description"																"Даёт 10% бонус к урону от всех источников."
	
	"relic_unique_greased_wheel"																			"Смазанное колесо"
	"relic_unique_greased_wheel_Description"																"Вам больше не нужно поворачиваться, когда используете способности"
	
	// GENERIC
	"relic_generic_angelic_water"																			"Ангельская вода"
	"relic_generic_angelic_water_Description"																"Даёт 10 к регенерации маны."
	
	"relic_generic_banshee_tear"																			"Слеза банши"
	"relic_generic_banshee_tear_Description"																"Даёт 500 максимальной маны и 1 к регенерации маны."
	
	"relic_generic_beast_fang"																				"Клык зверя"
	"relic_generic_beast_fang_Description"																	"Даёт 40 к урону и скорости атаки."
	
	"relic_generic_blood_crystal"																			"Кровавый кристалл"
	"relic_generic_blood_crystal_Description"																"Даёт 10 регенерации здоровья."
	
	"relic_generic_dead_mans_blood"																			"Окровавленная человеческая голова"
	"relic_generic_dead_mans_blood_Description"																"Даёт 400 к максимальному здоровью."
	
	"relic_generic_giants_toenail"																			"Гигантский ноготь"
	"relic_generic_giants_toenail_Description"																"Даёт 25% к сопротивлению эффектам."
	
	"relic_generic_hammerhead"																				"Огловье молота"
	"relic_generic_hammerhead_Description"																	"Даёт 80 урона."
	
	"relic_generic_pure_heart"																				"Чистое сердце"
	"relic_generic_pure_heart_Description"																	"Даёт 10 ко всем атрибутам."
	
	"relic_generic_seraphims_feather"																		"Перо серафима"
	"relic_generic_seraphims_feather_Description"															"Даёт 60 к скорости передвижения."
	
	"relic_generic_silver_arrow"																			"Серебрянная стрела"
	"relic_generic_silver_arrow_Description"																"Даёт 100 к дальности атаки и 35 к урону."
	
	"relic_generic_time_shard"																				"Осколок времени"
	"relic_generic_time_shard_Description"																	"Даёт 10% к снижению перезарядки способностей."
	
	"relic_generic_unicorn_horn"																			"Рог единорога"
